Source Name,Comment[original source name],Comment[ENA_SAMPLE],Comment[BioSD_SAMPLE],Characteristics[organism],Characteristics[developmental stage],Characteristics[age],Unit[time unit],Term Source REF,Term Accession Number,Characteristics[sex],Characteristics[individual],Characteristics[organism part],Characteristics[fraction],Characteristics[protocol],Material Type,Protocol REF,Protocol REF.1,Protocol REF.2,Extract Name,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRATEGY],Comment[NOMINAL_LENGTH],Comment[NOMINAL_SDEV],Comment[single cell isolation],Comment[library construction],Comment[end bias],Comment[input molecule],Comment[primer],Comment[spike in],Comment[cdna read],Comment[cdna read offset],Comment[cdna read size],Comment[cell barcode offset],Comment[cell barcode read],Comment[cell barcode size],Comment[umi barcode offset],Comment[umi barcode read],Comment[umi barcode size],Protocol REF.3,Performer,Assay Name,Technology Type,Comment[ENA_EXPERIMENT],Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[ENA_RUN],Comment[BAM_URI],Comment[read1 file],Comment[FASTQ_URI],Comment[read2 file],Comment[FASTQ_URI].1,Factor Value[developmental stage],Factor Value[age],Unit[time unit].1,Factor Value[phenotype],Factor Value[protocol]
F30_TH_45P_5GEX,FCAImmP7292034,ERS4228611,SAMEA6463106,Homo sapiens,late embryo,14,week,  ,  ,male,F30,thymus,CD45-positive,gene expression,organism part,P-MTAB-92512,P-MTAB-92513,P-MTAB-92514,FCAImmP7292034,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,150,0,10x,10xV2,5 prime tag,polyA RNA,oligo-dT,none,read 2,0,98,0,read 1,16,16,read 1,10,P-MTAB-92515,Wellcome Sanger Institute,FCAImmP7292034,sequencing assay,ERX3806096,FCAImmP7292034.bam,FCAImmP7292034.bam,ERR3804206,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804206/FCAImmP7292034.bam,FCAImmP7292034_R1.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7292034_R1.fastq.gz,FCAImmP7292034_R2.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7292034_R2.fastq.gz,prenatal,14,week,CD45-positive,gene expression
F29_TH_45P_5GEX,FCAImmP7292943,ERS4228621,SAMEA6463116,Homo sapiens,late embryo,17,week,  ,  ,female,F29,thymus,CD45-positive,VDJ-T enrichment,organism part,P-MTAB-92512,P-MTAB-92513,P-MTAB-92514,FCAImmP7292943,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,150,0,10x,10xV2,5 prime tag,polyA RNA,oligo-dT,none,read 2,0,150,0,read 1,16,16,read 1,10,P-MTAB-92515,Wellcome Sanger Institute,FCAImmP7292943,sequencing assay,ERX3806106,FCAImmP7292943.bam,FCAImmP7292943.bam,ERR3804216,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804216/FCAImmP7292943.bam,FCAImmP7292943_R1.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7292943_R1.fastq.gz,FCAImmP7292943_R2.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7292943_R2.fastq.gz,prenatal,17,week,CD45-positive,VDJ-T enrichment
F30_TH_45P_5GEX,FCAImmP7292946,ERS4228619,SAMEA6463114,Homo sapiens,late embryo,14,week,  ,  ,male,F30,thymus,CD45-positive,VDJ-T enrichment,organism part,P-MTAB-92512,P-MTAB-92513,P-MTAB-92514,FCAImmP7292946,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,150,0,10x,10xV2,5 prime tag,polyA RNA,oligo-dT,none,read 2,0,150,0,read 1,16,16,read 1,10,P-MTAB-92515,Wellcome Sanger Institute,FCAImmP7292946,sequencing assay,ERX3806104,FCAImmP7292946.bam,FCAImmP7292946.bam,ERR3804214,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804214/FCAImmP7292946.bam,FCAImmP7292946_R1.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7292946_R1.fastq.gz,FCAImmP7292946_R2.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7292946_R2.fastq.gz,prenatal,14,week,CD45-positive,VDJ-T enrichment
F38_TH_45P,FCAImmP7528283,ERS4228608,SAMEA6463103,Homo sapiens,late embryo,13,week,  ,  ,male,F38,thymus,CD45-positive,gene expression,organism part,P-MTAB-92512,P-MTAB-92513,P-MTAB-92514,FCAImmP7528283,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,150,0,10x,10xV2,3 prime tag,polyA RNA,oligo-dT,none,read 2,0,98,0,read 1,16,16,read 1,10,P-MTAB-92515,Wellcome Sanger Institute,FCAImmP7528283,sequencing assay,ERX3806093,FCAImmP7528283.bam,FCAImmP7528283.bam,ERR3804203,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804203/FCAImmP7528283.bam,FCAImmP7528283_R1.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7528283_R1.fastq.gz,FCAImmP7528283_R2.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7528283_R2.fastq.gz,prenatal,13,week,CD45-positive,gene expression
F38_TH_45N_1,FCAImmP7528284,ERS4228594,SAMEA6463089,Homo sapiens,late embryo,13,week,  ,  ,male,F38,thymus,CD45-negative,gene expression,organism part,P-MTAB-92512,P-MTAB-92513,P-MTAB-92514,FCAImmP7528284,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,150,0,10x,10xV2,3 prime tag,polyA RNA,oligo-dT,none,read 2,0,98,0,read 1,16,16,read 1,10,P-MTAB-92515,Wellcome Sanger Institute,FCAImmP7528284,sequencing assay,ERX3806079,FCAImmP7528284.bam,FCAImmP7528284.bam,ERR3804189,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804189/FCAImmP7528284.bam,FCAImmP7528284_R1.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7528284_R1.fastq.gz,FCAImmP7528284_R2.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7528284_R2.fastq.gz,prenatal,13,week,CD45-negative,gene expression
F38_TH_45N_2,FCAImmP7528285,ERS4228595,SAMEA6463090,Homo sapiens,late embryo,13,week,  ,  ,male,F38,thymus,CD45-negative,gene expression,organism part,P-MTAB-92512,P-MTAB-92513,P-MTAB-92514,FCAImmP7528285,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,150,0,10x,10xV2,3 prime tag,polyA RNA,oligo-dT,none,read 2,0,98,0,read 1,16,16,read 1,10,P-MTAB-92515,Wellcome Sanger Institute,FCAImmP7528285,sequencing assay,ERX3806080,FCAImmP7528285.bam,FCAImmP7528285.bam,ERR3804190,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804190/FCAImmP7528285.bam,FCAImmP7528285_R1.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7528285_R1.fastq.gz,FCAImmP7528285_R2.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7528285_R2.fastq.gz,prenatal,13,week,CD45-negative,gene expression
F38_TH_45P_5GEX,FCAImmP7528294,ERS4228609,SAMEA6463104,Homo sapiens,late embryo,13,week,  ,  ,male,F38,thymus,CD45-positive,gene expression,organism part,P-MTAB-92512,P-MTAB-92513,P-MTAB-92514,FCAImmP7528294,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,150,0,10x,10xV2,5 prime tag,polyA RNA,oligo-dT,none,read 2,0,98,0,read 1,16,16,read 1,10,P-MTAB-92515,Wellcome Sanger Institute,FCAImmP7528294,sequencing assay,ERX3806094,FCAImmP7528294.bam,FCAImmP7528294.bam,ERR3804204,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804204/FCAImmP7528294.bam,FCAImmP7528294_R1.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7528294_R1.fastq.gz,FCAImmP7528294_R2.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7528294_R2.fastq.gz,prenatal,13,week,CD45-positive,gene expression
F41_TH_45P,FCAImmP7555851,ERS4228613,SAMEA6463108,Homo sapiens,late embryo,16,week,  ,  ,female,F41,thymus,CD45-positive,gene expression,organism part,P-MTAB-92512,P-MTAB-92513,P-MTAB-92514,FCAImmP7555851,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,150,0,10x,10xV2,3 prime tag,polyA RNA,oligo-dT,none,read 2,0,98,0,read 1,16,16,read 1,10,P-MTAB-92515,Wellcome Sanger Institute,FCAImmP7555851,sequencing assay,ERX3806098,FCAImmP7555851.bam,FCAImmP7555851.bam,ERR3804208,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804208/FCAImmP7555851.bam,FCAImmP7555851_R1.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7555851_R1.fastq.gz,FCAImmP7555851_R2.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7555851_R2.fastq.gz,prenatal,16,week,CD45-positive,gene expression
F41_TH_45N,FCAImmP7555852,ERS4228598,SAMEA6463093,Homo sapiens,late embryo,16,week,  ,  ,female,F41,thymus,CD45-negative,gene expression,organism part,P-MTAB-92512,P-MTAB-92513,P-MTAB-92514,FCAImmP7555852,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,150,0,10x,10xV2,3 prime tag,polyA RNA,oligo-dT,none,read 2,0,98,0,read 1,16,16,read 1,10,P-MTAB-92515,Wellcome Sanger Institute,FCAImmP7555852,sequencing assay,ERX3806083,FCAImmP7555852.bam,FCAImmP7555852.bam,ERR3804193,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804193/FCAImmP7555852.bam,FCAImmP7555852_R1.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7555852_R1.fastq.gz,FCAImmP7555852_R2.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7555852_R2.fastq.gz,prenatal,16,week,CD45-negative,gene expression
F41_TH_45P_5GEX,FCAImmP7555860,ERS4228614,SAMEA6463109,Homo sapiens,late embryo,16,week,  ,  ,female,F41,thymus,CD45-positive,gene expression,organism part,P-MTAB-92512,P-MTAB-92513,P-MTAB-92514,FCAImmP7555860,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,150,0,10x,10xV2,5 prime tag,polyA RNA,oligo-dT,none,read 2,0,98,0,read 1,16,16,read 1,10,P-MTAB-92515,Wellcome Sanger Institute,FCAImmP7555860,sequencing assay,ERX3806099,FCAImmP7555860.bam,FCAImmP7555860.bam,ERR3804209,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804209/FCAImmP7555860.bam,FCAImmP7555860_R1.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7555860_R1.fastq.gz,FCAImmP7555860_R2.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7555860_R2.fastq.gz,prenatal,16,week,CD45-positive,gene expression
F41_TH_45N_5GEX,FCAImmP7555861,ERS4228599,SAMEA6463094,Homo sapiens,late embryo,16,week,  ,  ,female,F41,thymus,CD45-negative,gene expression,organism part,P-MTAB-92512,P-MTAB-92513,P-MTAB-92514,FCAImmP7555861,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,150,0,10x,10xV2,5 prime tag,polyA RNA,oligo-dT,none,read 2,0,98,0,read 1,16,16,read 1,10,P-MTAB-92515,Wellcome Sanger Institute,FCAImmP7555861,sequencing assay,ERX3806084,FCAImmP7555861.bam,FCAImmP7555861.bam,ERR3804194,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804194/FCAImmP7555861.bam,FCAImmP7555861_R1.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7555861_R1.fastq.gz,FCAImmP7555861_R2.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7555861_R2.fastq.gz,prenatal,16,week,CD45-negative,gene expression
F45_TH_45P,FCAImmP7579218,ERS4228606,SAMEA6463101,Homo sapiens,late embryo,12,week,  ,  ,female,F45,thymus,CD45-positive,gene expression,organism part,P-MTAB-92512,P-MTAB-92513,P-MTAB-92514,FCAImmP7579218,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,150,0,10x,10xV2,3 prime tag,polyA RNA,oligo-dT,none,read 2,0,98,0,read 1,16,16,read 1,10,P-MTAB-92515,Wellcome Sanger Institute,FCAImmP7579218,sequencing assay,ERX3806091,FCAImmP7579218.bam,FCAImmP7579218.bam,ERR3804201,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804201/FCAImmP7579218.bam,FCAImmP7579218_R1.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7579218_R1.fastq.gz,FCAImmP7579218_R2.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7579218_R2.fastq.gz,prenatal,12,week,CD45-positive,gene expression
